member_id,full_name,age,county,employment_sector,employer_name,monthly_contribution,date_joined,phone_number,gender,member_status,remarks
SACCO-0018,Mwangi Kariuki,28,Kericho,Finance,Kisumu County Govt,,2020-02,0749597086,F,active,
SACCO-0019,ESTHER Kiprotich,41,Meru,Manufacturing,Kisumu County Govt,6111,12/2016,0736553958,M,Inactive,
SACCO-0020,Owino Kiprotich,25,Vihiga,ICT,Kisumu County Govt,10433,03/2020,0735159040,Male,ACTIVE,
SACCO-0021,Wafula Mutuku,31yrs,Trans-Nzoia,Finance,Bamburi Cement,13311,Jan-2017,,M,Active,
SACCO-0022,Rose Bett,,Murang'a,ICT,KEBS,5.6K,Jul-2017,,f,Inactive,
SACCO-0023,Samuel Kiptoo,,Kisumu,ICT,BAT Kenya,14420,Jun-2022,0730547349,Female,Inactive,
SACCO-0024,Mwangi Njenga,,Marsabit,Trade,Kenya Power,,03/2019,0735630292,Female,Inactive,
SACCO-0025,Grace Kamau,58,Kisumu,Transport,Absa Kenya,14396,2023-11,254799582853,M,Inactive,
SACCO-0026,Abdi Kamau,41yrs,Makueni,Public Service,Kenya Airways,"KES 63,666",Sep-2019,+254756431351,F,ACTIVE,
SACCO-0027,James Korir,41,Vihiga,ICT,East African Breweries,1582.0,08/2020,0790681152,Male,INACTIVE,
SACCO-0028,Kiptoo mwangi,62yrs,Machakos,ICT,World Vision Kenya,,2019-04,0719777514,F,active,
SACCO-0029,Mwangi Waithera,,Siaya,Public Service,Standard Chartered,,2015-02,0729372360,FEMALE,active,
SACCO-0030,Adhiambo sigei,51yrs,Turkana,Finance,Kenya Airways,2.3K,2022-10,+254767750178,MALE,Inactive,
SACCO-0031,Emmanuel Waithera,,Isiolo,Public Service,Deloitte Kenya,689,2022-02,0731473195,F,active,
SACCO-0032,Odhiambo Lagat,26,Bomet,Finance,Kenya Breweries,"KES 7,601",Jul-2018,,M,inactive,
SACCO-0033,Emmanuel Kariuki,46,Migori,Finance,,,04/2024,+254736632757,M,Inactive,
SACCO-0034,Juma Mutua,30,Marsabit,Agriculture,,"KES 9,899",Nov-2024,+254786268397,f,Active,
SACCO-0035,Mohamed Ogutu,,Migori,Trade,,1767,12/2015,0746970882,M,INACTIVE,
SACCO-0036,  Kamau Nyambura,31,Taita-Taveta,Transport,Safaricom PLC,,08/2018,0749512272,Female,ACTIVE,
SACCO-0037,  Kiptoo korir,41yrs,Siaya,Public Service,Kenya Red Cross,2028,2024-12,0732594692,m,inactive,
SACCO-0038,Wafula Kiptoo,44yrs,Makueni,Trade,KCB Group,,2020-01,0765793759,FEMALE,active,
SACCO-0039,Ruth Wekesa,63,Marsabit,ICT,BAT Kenya,,May-2024,254732949803,M,inactive,
SACCO-0040,Mercy Odongo,23,Narok,Manufacturing,BAT Kenya,4390,Jun-2019,254780014570,F,Active,
SACCO-0041,Njeri Nyambura,37yrs,Kitui,Transport,BAT Kenya,"KES 63,838",Feb-2015,+254754277800,F,active,
SACCO-0042,Mary Rotich,43,Kwale,Trade,Mombasa County Govt,6664,Dec-2016,254716046365,FEMALE,ACTIVE,
SACCO-0043,Samuel Njoroge,55yrs,Meru,ICT,Nairobi City County,,Mar-2020,+254795028632,F,INACTIVE,
SACCO-0044,Catherine Wekesa,28,West Pokot,Trade,BAT Kenya,"KES 22,502",2020-03,,Male,inactive,
SACCO-0045,Mwangi Odongo,31 years,Kajiado,Agriculture,,5893,10/2021,0783002706,Male,active,
SACCO-0046,Peter Muthoni,61,Meru,ICT,,2935.0,Nov-2019,0732194159,M,Active,
SACCO-0047,Paul Njoroge,40 years,Kwale,Agriculture,PWC Kenya,1100,11/2019,+254726550845,Male,active,
SACCO-0048,ROTICH Mutuku,60 years,West Pokot,Trade,Kenya Breweries,35555,12/2019,+254736540265,Male,Active,
SACCO-0049,Grace Mutua,27,Lamu,ICT,NSSF Kenya,"KES 2,561",2015-11,0777342561,m,active,
SACCO-0050,Amina Kipchoge,53,Taita-Taveta,Trade,Absa Kenya,,Mar-2016,+254793103304,Female,Inactive,
SACCO-0051,Otieno waithera,29,Homa Bay,ICT,Total Kenya,18.2K,2015-11,+254762005415,M,Inactive,
SACCO-0052,Beatrice Waithera,57,Laikipia,Public Service,Kenya Ports Authority,19016.0,2016-01,254781721371,m,Inactive,
SACCO-0053,Salome Mutuku,29,Nyeri,Transport,NHIF,3112,2019-09,254755766169,FEMALE,Active,
SACCO-0054,Baraka Ogutu,30,Nyandarua,ICT,,23.8K,Sep-2020,0700344303,F,active,
SACCO-0055,Daniel sigei,44,Marsabit,Public Service,Kenya Breweries,72.2K,Dec-2018,0751401477,m,Active,
SACCO-0056,Ruth Kiptoo,63,Tana River,Agriculture,Kenya Railways,,2024-06,0759096899,MALE,Active,
SACCO-0057,ESTHER Wekesa,38,Wajir,Public Service,Deloitte Kenya,534,2020-11,,Female,inactive,
SACCO-0058,Ann Ochieng,65,Embu,Transport,KCB Group,"KES 6,849",2016-11,+254713489853,m,INACTIVE,
SACCO-0059,Achieng Korir,37yrs,West Pokot,Transport,,3652,02/2017,+254751344226,F,INACTIVE,
SACCO-0060,Mercy Otieno,,Kwale,Trade,PWC Kenya,,2016-08,0778862539,FEMALE,ACTIVE,
SACCO-0061,Hassan Ogutu,28,West Pokot,Trade,East African Breweries,2085,2019-01,0788346110,M,inactive,
SACCO-0062,Achieng Kamau,40 years,Embu,Finance,Teachers Service Commission,"KES 11,943",Oct-2018,,m,Active,
SACCO-0063,BEATRICE Otieno,24yrs,Nyamira,Manufacturing,KCB Group,3.6K,12/2020,0726950221,Male,INACTIVE,
SACCO-0064,Amina Cheruiyot,52,Laikipia,Transport,NSSF Kenya,1521,2016-08,254718892086,F,ACTIVE,
SACCO-0065,Juma Sigei,47,Marsabit,Agriculture,Kenya Breweries,"KES 19,653",Oct-2019,,M,Active,
SACCO-0066,Rose Abubakar,26yrs,Kwale,Transport,Mombasa County Govt,3113.0,Mar-2016,0704994527,Male,Active,
SACCO-0067,Chebet Lagat,56,Nyamira,Manufacturing,Kenya Ports Authority,"KES 38,417",08/2016,0737546086,F,Inactive,
SACCO-0068,Zawadi Kimani,63,Homa Bay,Trade,Nairobi City County,75.2K,02/2022,+254786128115,FEMALE,Active,
SACCO-0069,Chebet Kiptoo,57,Kericho,ICT,NSSF Kenya,2000,Oct-2017,,Male,inactive,
SACCO-0070,KAMAU Wekesa,37yrs,Mombasa,Manufacturing,Kisumu County Govt,5298,Sep-2021,+254708530615,m,active,
SACCO-0071,  John Nyambura,64yrs,Kwale,Transport,Kenya Power,,07/2022,+254714490391,MALE,Active,
SACCO-0072,PAUL Wekesa,62yrs,Mandera,Trade,Standard Chartered,7.4K,05/2023,+254781259008,f,Active,
SACCO-0073,Rose Mutua,36,Kwale,Public Service,Absa Kenya,13675.0,Jul-2020,0734210729,M,INACTIVE,
SACCO-0074,Njeri Mutuku,45 years,Turkana,Agriculture,East African Breweries,0.7K,06/2023,0755137801,Female,ACTIVE,
SACCO-0075,Moses Ochieng,44,Garissa,Manufacturing,Kenya Railways,29297.0,Feb-2018,0774660688,m,active,
SACCO-0076,Rose Njenga,63yrs,Baringo,Transport,NHIF,51557.0,Mar-2015,,F,Active,
SACCO-0077,FLORENCE Lagat,23,Isiolo,Manufacturing,Standard Chartered,"KES 1,495",Mar-2020,0796850971,FEMALE,active,
SACCO-0078,  Rotich Kipchoge,27,Makueni,Public Service,BAT Kenya,,May-2021,0768765957,F,Active,
SACCO-0079,  Daniel Kiprotich,47,Nakuru,Agriculture,Nairobi City County,19534,2018-03,0738848936,M,ACTIVE,
SACCO-0080,Baraka Onyango,64 years,Kiambu,Public Service,NSSF Kenya,,01/2021,254710450542,Female,active,
SACCO-0081,  Salome korir,42,Elgeyo-Marakwet,Public Service,,15629.0,02/2020,0714208709,Female,active,
SACCO-0082,Hassan Mutua,32,Tharaka-Nithi,Agriculture,Total Kenya,"KES 4,298",2020-06,254786629889,F,Active,
SACCO-0083,Paul Wekesa,33,Tharaka-Nithi,Public Service,Kenya Breweries,1775.0,08/2024,+254775764804,FEMALE,Inactive,
SACCO-0084,Mohamed Wekesa,62,Nyandarua,Finance,Equity Bank,"KES 56,016",05/2016,0705047559,f,Active,
SACCO-0085,Njeri Kamau,59yrs,Kisumu,Public Service,Kenya Pipeline Company,,06/2018,0767292380,M,Active,
SACCO-0086,Abdi wanjiku,24,Busia,Public Service,Total Kenya,"KES 47,823",Jun-2017,0737969333,m,ACTIVE,
SACCO-0087,Beatrice Otieno,57yrs,Laikipia,Trade,AMREF,7.4K,Mar-2024,+254778213973,MALE,Inactive,
SACCO-0088,Florence lagat,27,Siaya,Transport,Teachers Service Commission,,2017-11,,MALE,Active,
SACCO-0089,JOHN Rotich,35,Tana River,Manufacturing,KRA,17.3K,Feb-2017,+254713574883,Male,ACTIVE,
SACCO-0090,Florence Abubakar,60,Uasin Gishu,Manufacturing,NHIF,,2024-03,+254705864298,Female,Active,
SACCO-0091,Fatuma Njenga,56,Taita-Taveta,ICT,Nairobi City County,"KES 4,493",08/2024,254737818761,Male,Inactive,
SACCO-0092,Ndegwa Kiptoo,25yrs,Trans-Nzoia,Finance,Kenya Pipeline Company,6860,Feb-2023,0721516757,MALE,Active,
SACCO-0093,Odhiambo Cheruiyot,23,Homa Bay,Finance,Cooperative Bank,5359,Jun-2016,,f,active,
SACCO-0094,Chebet Ochieng,30 years,Taita-Taveta,Public Service,Nation Media Group,,Jan-2016,+254720068183,m,active,
SACCO-0095,  Fatuma Nyambura,48yrs,Elgeyo-Marakwet,Public Service,KCB Group,,10/2022,+254784819556,F,Active,
SACCO-0096,Joseph Rotich,64yrs,Isiolo,Trade,KCB Group,,2023-09,+254768131950,F,active,
SACCO-0097,Zawadi Gathoni,26,Nyamira,Transport,Deloitte Kenya,15208,2024-12,0717905932,Male,inactive,
SACCO-0098,Agnes Waithera,33 years,Kiambu,Transport,World Vision Kenya,5.8K,May-2015,,F,Inactive,
SACCO-0099,Ann Njoroge,34,Nakuru,ICT,Deloitte Kenya,2562,06/2016,254753690013,MALE,Inactive,
SACCO-0100,Daniel Wanjiku,55,Machakos,Transport,,,03/2024,,F,Active,
SACCO-0101,Ruth Muthoni,50,Nandi,Finance,Absa Kenya,3068,02/2015,0754520614,f,ACTIVE,
SACCO-0102,Rotich Sigei,24,Murang'a,ICT,Deloitte Kenya,"KES 76,847",Oct-2021,+254720594121,FEMALE,Inactive,
SACCO-0103,James Wekesa,63,Nyeri,Agriculture,,10027,2023-07,0715805613,F,Inactive,
SACCO-0104,Fatuma Wanjiku,29,Kiambu,Public Service,KEBS,57.7K,2022-02,+254742894344,m,active,
SACCO-0105,Hassan sigei,62,Trans-Nzoia,Finance,KRA,1995,Mar-2018,0766306502,Male,Inactive,
SACCO-0106,Rose Wekesa,41,Mandera,Transport,BAT Kenya,,Oct-2021,+254742550733,Male,ACTIVE,
SACCO-0107,Rose Otieno,30,Nakuru,ICT,Safaricom PLC,"KES 5,758",Mar-2019,0795204947,FEMALE,active,
SACCO-0108,Njeri Gathoni,39,Kajiado,Finance,Bamburi Cement,6118,2017-10,0720695604,Female,INACTIVE,
SACCO-0109,  James Ochieng,24,West Pokot,Trade,Deloitte Kenya,7236,07/2024,+254704064904,Female,Active,
SACCO-0110,Emmanuel Nyambura,41,Wajir,Agriculture,KEBS,"KES 55,391",Aug-2022,0781424562,f,Inactive,
SACCO-0111,Halima lagat,57,Murang'a,Public Service,Safaricom PLC,68986,Mar-2018,,f,Inactive,
SACCO-0112,Kiptoo Cheruiyot,42,Uasin Gishu,Public Service,Total Kenya,,Aug-2019,+254752780072,FEMALE,Active,
SACCO-0113,Achieng Korir,63yrs,Laikipia,Finance,Kenya Power,6.4K,2021-03,0797644479,F,Active,
SACCO-0114,Rose Ogutu,46yrs,Turkana,Trade,NHIF,4.1K,Feb-2024,0712976369,f,Inactive,
SACCO-0115,Rotich Ogutu,,Kisii,Transport,Kenya Airways,61.2K,Aug-2023,0769190008,MALE,Inactive,
SACCO-0116,Joseph Mutua,54,Marsabit,Public Service,Kenya Red Cross,"KES 3,599",Jan-2022,0790436763,F,Inactive,
SACCO-0117,CATHERINE Otieno,63 years,Samburu,Finance,KRA,47662.0,Aug-2024,254784426338,m,Inactive,
SACCO-0118,Adhiambo Ochieng,34,Narok,Public Service,Kenya Railways,"KES 33,392",07/2018,,f,ACTIVE,
SACCO-0119,Chebet Kiprotich,64,Siaya,Trade,KEBS,"KES 6,459",06/2023,254790713544,m,active,
SACCO-0120,Joseph Njoroge,57,Kajiado,ICT,Mombasa County Govt,21067.0,06/2022,,f,Active,
SACCO-0121,Agnes Onyango,44,Kakamega,Trade,Equity Bank,,2016-06,0788043078,Male,Active,
SACCO-0122,Rose Wanjiku,59,Nakuru,Transport,Kenya Ports Authority,"KES 3,604",Jan-2018,254744331259,M,inactive,
SACCO-0123,Rose Kipchoge,52,Bungoma,ICT,Mombasa County Govt,7715,02/2015,+254731168067,m,INACTIVE,
SACCO-0124,Mutua Muthoni,24,Homa Bay,ICT,BAT Kenya,54174,Jan-2019,+254776230551,MALE,Inactive,Follow up
SACCO-0125,Esther Onyango,30,Kwale,Trade,Nairobi City County,3.0K,2020-03,0787011385,M,ACTIVE,
SACCO-0126,James Mwangi,62,Vihiga,Finance,Kenya Airways,19837,2016-03,0764082804,F,Active,
SACCO-0127,Amina Abubakar,22,Trans-Nzoia,Transport,KRA,6347,Aug-2016,+254754414096,MALE,inactive,
SACCO-0128,Catherine Kimani,45yrs,Embu,Manufacturing,BAT Kenya,18965,06/2024,,m,inactive,
SACCO-0129,Adhiambo Mwangi,27yrs,Isiolo,Transport,Cooperative Bank,49538,Feb-2024,,M,active,
SACCO-0130,Mary waithera,59,Garissa,Public Service,,,09/2017,0775686878,Male,inactive,
SACCO-0131,Juma Gathoni,59,Vihiga,Trade,Kenya Red Cross,13056,2015-02,0763360324,F,ACTIVE,
SACCO-0132,Moses Otieno,46,Siaya,Public Service,KCB Group,22948.0,03/2023,0746676884,FEMALE,Inactive,
SACCO-0133,  ODHIAMBO Cheruiyot,41,Nyamira,Finance,Absa Kenya,,04/2018,0720820038,MALE,ACTIVE,
SACCO-0134,Florence Muthoni,23,Kiambu,Agriculture,,3190,2024-11,0706533225,M,Inactive,
SACCO-0135,Achieng Wekesa,58,Baringo,ICT,PWC Kenya,4.3K,2018-05,+254788612211,F,Active,
SACCO-0136,Peter Bett,65,Tana River,Agriculture,,8.5K,Sep-2021,+254755878146,F,Active,
SACCO-0137,Adhiambo Sigei,31 years,Nakuru,Finance,Absa Kenya,,Sep-2023,0732595918,F,Active,
SACCO-0138,Zawadi Mutuku,25,Lamu,Finance,,,2016-04,254778864147,Male,active,
SACCO-0139,  Abdi Korir,34,Nyeri,Transport,World Vision Kenya,"KES 50,446",12/2018,0727449289,F,Inactive,
SACCO-0140,Mercy Onyango,45yrs,Tana River,Public Service,Safaricom PLC,7.4K,2022-06,0749755172,M,inactive,
SACCO-0141,Kamau Gathoni,,Bungoma,Trade,KRA,"KES 8,206",08/2018,0791918556,m,active,
SACCO-0142,Samuel Njoroge,,Nyamira,Finance,BAT Kenya,23934,2023-11,0770322629,f,INACTIVE,
SACCO-0143,Wanjiku muthoni,26 years,Nairobi,Manufacturing,Total Kenya,"KES 16,755",10/2015,,Female,Active,
SACCO-0144,SALOME Kariuki,56,Mombasa,Finance,NHIF,5616.0,Mar-2021,+254712927031,F,active,
SACCO-0145,Halima Gathoni,47,Murang'a,Transport,KRA,4691,2016-11,254787227356,M,Inactive,
SACCO-0146,ACHIENG Otieno,53,Kitui,ICT,Kenya Airways,,2016-09,0730838737,f,inactive,
SACCO-0147,Otieno Mutuku,56yrs,Kisumu,Manufacturing,Kenya Pipeline Company,6.9K,04/2015,,MALE,Active,
SACCO-0148,James Cheruiyot,56,Kisii,ICT,Kenya Red Cross,9678.0,2023-12,0707207013,F,Active,
SACCO-0149,Joseph Kamau,23yrs,Busia,Public Service,KRA,"KES 9,059",Jul-2021,+254778634827,M,active,
SACCO-0150,Ruth mutuku,62,Siaya,Trade,Cooperative Bank,,05/2015,0736207439,M,Inactive,
SACCO-0151,John muthoni,57,Baringo,ICT,Kenya Airways,,05/2015,254711368176,Male,INACTIVE,
SACCO-0152,Mary Kipchoge,39,Tana River,Manufacturing,KCB Group,3814,Jul-2019,0710324210,FEMALE,ACTIVE,
SACCO-0153,Joseph Ogutu,22,Bomet,ICT,Nation Media Group,"KES 3,657",Aug-2020,,M,Inactive,
SACCO-0154,Ndegwa Njoroge,42,Wajir,Transport,BAT Kenya,77.3K,Jun-2018,0752738860,MALE,Active,
SACCO-0155,  Mutua Mwangi,51,Kericho,Public Service,,65817,07/2016,+254718680305,F,ACTIVE,
SACCO-0156,Baraka Mutuku,59,Garissa,ICT,Kenya Red Cross,"KES 18,921",2015-06,+254772062301,MALE,Active,
SACCO-0157,Florence Rotich,58,Lamu,Transport,Standard Chartered,,Jul-2020,0713234748,Male,active,
SACCO-0158,James Nyambura,65yrs,Garissa,Manufacturing,,17.8K,Feb-2022,0711523236,FEMALE,Active,
SACCO-0159,Mercy Kiptoo,52,Nyamira,Transport,,3560,2019-01,0715446483,F,Active,
SACCO-0160,Samuel Nyambura,43yrs,Kwale,Manufacturing,Teachers Service Commission,"KES 27,693",03/2017,,m,inactive,
SACCO-0161,GRACE Lagat,39 years,Kiambu,Finance,Safaricom PLC,,Mar-2023,+254726450861,F,inactive,
SACCO-0162,Beatrice Abubakar,59,Nandi,ICT,Kenya Breweries,5647.0,10/2019,0790209088,M,Inactive,
SACCO-0163,Catherine Wekesa,30yrs,Vihiga,Manufacturing,BAT Kenya,6239.0,Sep-2017,0738766747,F,active,
SACCO-0164,Halima Kariuki,46,Garissa,Transport,BAT Kenya,"KES 4,127",2022-07,+254759572772,M,Active,
SACCO-0165,Fatuma Ochieng,32 years,West Pokot,Transport,World Vision Kenya,24157.0,Sep-2023,0715328557,Male,INACTIVE,
SACCO-0166,Otieno Njenga,49,Kitui,ICT,KRA,,Aug-2015,,FEMALE,inactive,
SACCO-0167,Samuel Odongo,61yrs,Uasin Gishu,Finance,Kenya Railways,,01/2018,0771441519,Male,Inactive,
SACCO-0168,Fatuma Odongo,65 years,Kisii,ICT,Teachers Service Commission,"KES 18,230",2015-05,254717030641,M,Active,
SACCO-0169,Adhiambo Njenga,31yrs,Nyandarua,Transport,Absa Kenya,"KES 6,092",2016-11,+254712494970,m,ACTIVE,
SACCO-0170,  Mercy Njoroge,27 years,Kwale,Transport,PWC Kenya,36494.0,Sep-2016,254757665720,Male,Inactive,
SACCO-0171,Rose odongo,43,Nakuru,Agriculture,Safaricom PLC,2737.0,Jan-2022,+254721204188,M,INACTIVE,
SACCO-0172,Catherine Wekesa,39,Trans-Nzoia,Trade,,"KES 7,892",Jan-2017,254741004756,m,Inactive,
SACCO-0341,Omondi Kariuki,59,Lamu,Public Service,Kenya Power,6004,2020-02,+254756682016,Male,Active,
SACCO-0174,Omondi Kimani,30,Kisii,Transport,PWC Kenya,5996,Oct-2023,0787244236,F,Active,
SACCO-0451,Salome Kamau,27,Kisii,ICT,Safaricom PLC,9306.0,2021-06,254742211967,F,active,
SACCO-0176,Paul Kamau,23,Makueni,Trade,Nairobi City County,"KES 4,529",2023-04,+254739666982,f,inactive,
SACCO-0177,Baraka Kimani,26yrs,Nairobi,Trade,Kenya Pipeline Company,,10/2021,+254773330690,m,INACTIVE,
SACCO-0178,KAMAU Odongo,24,Homa Bay,Finance,Mombasa County Govt,17474.0,07/2023,0753992760,Male,active,
SACCO-0179,Hassan Mutuku,31yrs,Homa Bay,Finance,,1209.0,05/2016,,F,Active,
SACCO-0180,Wafula Waithera,64 years,Kilifi,Agriculture,Kenya Power,,03/2015,+254746533974,f,ACTIVE,
SACCO-0317,Chebet Mutua,29 years,Mombasa,Trade,Teachers Service Commission,"KES 6,030",Feb-2023,+254777396877,Male,active,
SACCO-0182,James Kipchoge,28,Lamu,Transport,Safaricom PLC,,Jan-2023,0701649277,Male,Inactive,
SACCO-0183,Otieno Onyango,63,Narok,Manufacturing,Absa Kenya,4.9K,2020-05,0776710258,Male,INACTIVE,
SACCO-0184,Mary Ochieng,51,Kajiado,Trade,,"KES 4,248",Jun-2015,254775672859,m,Active,
SACCO-0185,Daniel Njenga,56 years,Murang'a,Manufacturing,Kenya Power,7.9K,04/2015,254785354668,f,INACTIVE,
SACCO-0186,Florence Lagat,28,Murang'a,Public Service,BAT Kenya,,Dec-2017,,MALE,active,
SACCO-0240,Zawadi Waithera,28yrs,Tharaka-Nithi,ICT,Standard Chartered,,01/2024,0717543369,F,Inactive,
SACCO-0188,Catherine Cheruiyot,39,Bungoma,Manufacturing,World Vision Kenya,26998.0,Mar-2016,+254760339827,F,active,
SACCO-0189,Karanja Waithera,29,Lamu,Trade,NHIF,62994.0,Jan-2024,0743995720,m,INACTIVE,
SACCO-0190,Achieng Mwangi,33,Homa Bay,ICT,,"KES 3,945",Apr-2023,254713677772,M,Active,
SACCO-0191,Odhiambo Wekesa,65yrs,Kitui,Agriculture,East African Breweries,53319.0,2016-01,,Male,Active,
SACCO-0192,ABDI Kimani,32,Vihiga,ICT,AMREF,"KES 42,879",07/2015,0723193791,MALE,Active,
SACCO-0193,Rotich Ochieng,63,Migori,Finance,,3804,Jul-2019,+254726770773,f,Active,
SACCO-0194,ANN Kiptoo,44,Tana River,Trade,Kenya Pipeline Company,"KES 75,147",Jul-2020,0703498112,M,inactive,
SACCO-0195,Achieng Kiptoo,59,Uasin Gishu,Agriculture,KRA,21808.0,2019-09,0798926537,FEMALE,Active,
SACCO-0196,Baraka Rotich,33,Samburu,Trade,Teachers Service Commission,31585.0,Oct-2020,0794027679,Female,Active,
SACCO-0197,Daniel Onyango,27,Baringo,Manufacturing,Kenya Power,,2015-06,254727040091,F,Active,
SACCO-0198,MOHAMED Ochieng,31 years,Isiolo,ICT,Cooperative Bank,,2020-12,+254753095937,F,Inactive,
SACCO-0199,Moses Muthoni,63,Mandera,Finance,Kenya Red Cross,,Jun-2024,,F,ACTIVE,
SACCO-0200,MUTUA Mutua,58,West Pokot,Agriculture,KEBS,7780.0,04/2024,,M,ACTIVE,
SACCO-0201,Mohamed Kipchoge,64yrs,Bomet,Public Service,Kenya Power,2136,Dec-2018,254734448045,m,Active,
SACCO-0202,Salome Kipchoge,46,Siaya,Agriculture,,"KES 4,196",2024-11,0730277201,M,inactive,
SACCO-0203,Mohamed Gathoni,32,Uasin Gishu,Transport,KCB Group,"KES 3,499",06/2016,,m,Inactive,
SACCO-0212,Paul Bett,43,Bungoma,Public Service,Kenya Red Cross,"KES 12,737",05/2023,0739916439,M,active,
SACCO-0205,Rotich Ochieng,40,Tharaka-Nithi,Finance,BAT Kenya,39555,Apr-2015,,Male,Active,
SACCO-0206,Emmanuel Njoroge,63yrs,Kilifi,Trade,Kenya Ports Authority,"KES 21,877",Aug-2017,+254759020960,F,Active,
SACCO-0207,Catherine mwangi,56,Samburu,Manufacturing,Bamburi Cement,1354,09/2021,+254771875527,MALE,active,
SACCO-0208,Hassan Mutuku,24yrs,Isiolo,ICT,,6355.0,Mar-2024,0760269093,FEMALE,INACTIVE,
SACCO-0209,Chebet Ochieng,49,Tharaka-Nithi,Manufacturing,NHIF,,2020-12,0708994192,Male,active,
SACCO-0210,  Mary Waithera,61yrs,Migori,Agriculture,,47912,10/2024,,Female,Active,
SACCO-0211,Ann Bett,46yrs,West Pokot,Finance,,3974,Jul-2019,+254781692326,F,Inactive,
SACCO-0212,CATHERINE Nyambura,39,Mombasa,Trade,NHIF,,2019-05,+254793440079,FEMALE,Active,
SACCO-0213,Samuel Waithera,48yrs,Machakos,Manufacturing,Kenya Breweries,5749,12/2021,254769323646,f,active,Follow up
SACCO-0214,Hassan Wanjiku,55,Mombasa,Manufacturing,Nairobi City County,5.7K,Jan-2018,0761263503,F,Active,
SACCO-0215,Mercy Kiprotich,65,Trans-Nzoia,Public Service,Nation Media Group,"KES 2,207",10/2022,0746204319,MALE,ACTIVE,
SACCO-0216,Fatuma Kariuki,58 years,Kericho,ICT,,13791.0,05/2018,0768891441,f,ACTIVE,
SACCO-0217,Chebet Otieno,36,Kajiado,Transport,Kenya Red Cross,,2021-07,0761605671,Male,ACTIVE,
SACCO-0218,Juma odongo,64,Trans-Nzoia,Finance,Deloitte Kenya,46919.0,05/2019,0764657836,FEMALE,active,Branch transfer
SACCO-0219,Owino Otieno,41,Isiolo,ICT,KRA,29.9K,07/2024,0791369490,M,active,Pending docs
SACCO-0220,  Salome Lagat,58 years,Bomet,Transport,Kenya Red Cross,4010,2023-11,,F,Active,
SACCO-0444,Rose Kipchoge,38 years,Turkana,ICT,Kenya Pipeline Company,8202,Nov-2020,0747685330,f,Inactive,
SACCO-0222,Zawadi Gathoni,29,Tharaka-Nithi,Finance,East African Breweries,36.4K,2016-08,0767172936,m,active,
SACCO-0223,Rotich Wekesa,,Kwale,Manufacturing,Kenya Airways,4.7K,02/2017,,F,Active,
SACCO-0224,Karanja Njenga,,Machakos,Manufacturing,Nation Media Group,"KES 4,996",07/2021,0764075580,M,Active,
SACCO-0225,Wanjiku Bett,,Nairobi,Transport,AMREF,1266,May-2020,+254751479273,F,Active,
SACCO-0226,Fatuma Waithera,43,Lamu,Manufacturing,Kenya Airways,4.9K,2022-06,,MALE,Inactive,
SACCO-0227,  Moses Wekesa,54,Trans-Nzoia,Transport,Deloitte Kenya,2.8K,Nov-2021,+254771770706,Female,Active,VIP member
SACCO-0228,Kamau Ochieng,46,Kirinyaga,Public Service,Kenya Red Cross,3431,05/2015,+254713553285,F,active,VIP member
